,year,snow,prcp_cm,max_celsius,min_celsius,lat,long,index,stn,mo,da,sndp_cm
1120,2000.0,739464.358,129.2098,33.0,-17.0,46.14717422500764,-60.691847733834415,,,,,
1121,2001.0,570867.794,166.3446,35.5,-25.61111111111111,46.14717422500764,-60.691847733834415,,,,,
1122,2002.0,670142.6780000001,136.6012,32.5,-16.77777777777778,46.14717422500764,-60.691847733834415,,,,,
1123,2003.0,612662.478,179.2224,30.0,-24.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1124,2004.0,650543.53,115.87480000000001,29.22222222222222,-23.77777777777778,46.14717422500764,-60.691847733834415,,,,,
1125,2005.0,652318.4820000001,391.6934,30.27777777777778,-17.0,46.14717422500764,-60.691847733834415,,,,,
1126,2006.0,1179439.348,475.0054,5537.722222222223,-17.88888888888889,46.14717422500764,-60.691847733834415,,,,,
1127,2007.0,1636228.3760000002,241.5286,5537.722222222223,-21.11111111111111,46.14717422500764,-60.691847733834415,,,,,
1128,2008.0,1403573.52,278.4094,31.0,-20.0,46.14717422500764,-60.691847733834415,,,,,
1129,2009.0,1578449.472,300.6852,33.0,-22.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1130,2010.0,1653821.432,292.735,31.22222222222222,-16.77777777777778,46.14717422500764,-60.691847733834415,,,,,
1131,2011.0,2464786.028,303.0982,5537.722222222223,-30.0,46.14717422500764,-60.691847733834415,,,,,
1132,2012.0,2525257.078,294.7924,5537.722222222223,-27.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1133,2013.0,2298365.228,260.7056,33.111111111111114,-21.61111111111111,46.14717422500764,-60.691847733834415,,,,,
1134,2014.0,2098781.68,547.9288,32.0,-30.77777777777778,46.14717422500764,-60.691847733834415,,,,,
1135,2015.0,2282352.052,325.0946,5537.722222222223,-28.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1136,2016.0,2034700.7820000001,1014.0188,31.0,-19.88888888888889,46.14717422500764,-60.691847733834415,,,,,
1137,2017.0,2060732.226,594.0552,29.77777777777778,-23.11111111111111,46.14717422500764,-60.691847733834415,,,,,
1138,2018.0,2147368.832,278.6126,31.72222222222222,-21.22222222222222,46.14717422500764,-60.691847733834415,,,,,
1139,2019.0,1954283.112,670.3568,32.22222222222222,-26.27777777777778,46.14717422500764,-60.691847733834415,,,,,
1140,2020.0,2146583.464,266.8016,33.72222222222222,-25.77777777777778,46.14717422500764,-60.691847733834415,,,,,
